Movie_Name,Release_Period,Whether_Remake,Whether_Franchise,Genre,New_Actor,New_Director,New_Music_Director,Lead_Star,Director,Music_Director,Screens,Budget,Revenue,Profit_Factor,Year,Duration,Rating,Votes
Dhadkanein,Holiday,No,No,love_story,No,No,No,Attin Bhalla,Imran Khalid,Anand - Milind,15,15000000,1550000,0.103333333,2006,146,4.4,12
Hulla,Normal,No,No,comedy,No,Yes,No,Sushant Singh,Jaideep Varma,Indian Ocean,100,15000000,1550000,0.103333333,2008,107,6.4,234
Listen... Amaya,Normal,No,No,drama,No,Yes,Yes,Swara Bhaskar,Avinash Kumar Singh,Indraneel Hariharan,35,15000000,1550000,0.103333333,2013,108,6.6,588
Bollywood Villa,Normal,No,No,suspense,No,Yes,No,Dilzan Wadia,Chandarsen Singh,Vaishnav Deva,1,8000000,825000,0.103125,2014,124,4.8,12
Kya Yahi Sach Hai,Holiday,No,No,drama,Yes,Yes,Yes,Rajiv Roda,Y.P. Singh,Rooshin Dalal,100,15000000,1525000,0.101666667,2011,142,6.1,22
I Love NY,Normal,No,No,rom__com,No,Yes,No,Sunny Deol,Radhika Rao,Pritam,500,160000000,16200000,0.10125,2015,127,3.4,648
Victory,Holiday,No,No,drama,No,Yes,No,Harman Baweja,Ajit Pal Mangat,Anu Malik,325,190000000,19235000,0.101236842,2009,160,3.8,481
Utt Pataang,Normal,No,No,comedy,No,Yes,No,Vinay Pathak,Srikanth Velagaleti,Shamir Tandon,225,55000000,5500000,0.1,2011,120,6.0,306
Mahabharat Aur Barbareek,Normal,No,No,mythological,No,Yes,No,Gracy Singh,Dharmesh Tiwari,Ravindra Jain,15,17500000,1750000,0.1,2013,137,6.8,19
Mokssh,Normal,No,No,drama,Yes,Yes,No,Chinmay Mandlekar,Ajit Bhairavkar,Shailendra Barve,3,5000000,500000,0.1,2013,100,4.8,13
Lakshmi,Normal,No,No,drama,Yes,No,No,Monali Thakur,Nagesh Kukunoor,Tapas Relia,100,40000000,3900000,0.0975,2014,115,7.9,1520
Shortcut Romeo,Normal,No,No,thriller,No,Yes,No,Neil Nitin Mukesh,Susi Ganesh,Himesh Reshammiya,750,140000000,13600000,0.097142857,2013,146,2.3,252
Chittagong,Normal,No,No,drama,No,Yes,No,Manoj Bajpai,Bedabrata Pain,Shankar - Ehsaan - Loy,65,50000000,4750000,0.095,2012,105,7.3,1558
Memories in March,Holiday,No,No,drama,No,Yes,No,Deepti Naval,Sanjoy Nag,Debajyoti Mishra,20,15000000,1425000,0.095,2010,104,7.2,442
We R Friends,Normal,No,No,drama,No,Yes,No,Jackie Shroff,Jaidev Chakravorty,Anand - Milind,20,10000000,950000,0.095,2006,110,4.8,13
Main Aur Mr. Riight,Normal,No,No,rom__com,Yes,Yes,Yes,Barun Sobti,Adeeb Rais,Ravi Shukla,300,42500000,3900000,0.091764706,2014,130,5.2,347
Tum Ho Yaara,Normal,No,No,drama,Yes,Yes,No,Ganesh Venkatraman,Natty Kumar,Faizan Hussain,5,6000000,550000,0.091666667,2011,135,3.9,24
2 Nights In Soul Valley,Holiday,No,No,horror,No,Yes,Yes,Hemant Pandey,Harish Sharma,Varsha,20,3000000,275000,0.091666667,2012,80,6.8,21
Ru-Ba-Ru,Holiday,No,No,drama,No,Yes,Yes,Randeep Hooda,Arjun Chandramohan Bali,Satya,125,55000000,5000000,0.090909091,2008,120,5.5,251
Kushti,Normal,Yes,No,comedy,No,No,No,Rajpal Yadav,T.K. Rajiv Kumar,Tauseef Akhtar,200,60000000,5425000,0.090416667,2010,121,4.3,171
